id,Причина дубля,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Account
42,,36220.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
657,первая часть оплаты,,,,,,,,,,,,,,,,,Васильев Артем Александрович
657,вторая часть оплаты,,,,,,,,,,,,,,,,,Васильев Артем Александрович
594,,,,,,,,,,,,,,,,,,Васильев Артем Александрович
665,,10000.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
637,,38045.0,,,,,,,,,,,,,,,,Соколова Анастасия Викторовна
419,,,,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
578,,82800.0,,,,,,,,,,,,,,,,Попова Екатерина Николаевна
579,,,,,,,,,,,,,,,,,,Васильев Артем Александрович
592,первая часть оплаты,92302.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
592,вторая часть оплаты,12340.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
666,,110000.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
620,,,,,,,,,,,,,,,,,,Васильев Артем Александрович
704,первая часть оплаты,35365.0,,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
704,вторая часть оплаты,945.0,,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
704,вторая часть оплаты,4715.0,,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
16,,,,,,,,,,,,,,,,,,Иванова Мария Сергеевна
379,,55195.0,55195.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
31,,55100.0,55100.0,,44775.0,44775.0,44775.0,44775.0,44775.0,44775.0,44775.0,44775.0,44775.0,44775.0,44775.0,44775.0,46200.0,Васильев Артем Александрович
572,изменение ЮЛ,56200.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
573,изменение ЮЛ,69210.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
574,изменение ЮЛ,46755.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
575,изменение ЮЛ,25020.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
576,изменение ЮЛ,36365.0,,,,,,,,,,,,,,,,Васильев Артем Александрович
328,,116473.5,110700.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
716,первая часть оплаты,18640.0,18710.0,,,,,,,,,,,,,,,Соколова Анастасия Викторовна
716,вторая часть оплаты,3165.0,2110.0,,,,,,,,,,,,,,,Соколова Анастасия Викторовна
613,первая часть оплаты,,,,,,,,,,,,,,,,,Васильев Артем Александрович
615,первая часть оплаты,,,,,,,,,,,,,,,,,Васильев Артем Александрович
617,первая часть оплаты,,,,,,,,,,,,,,,,,Васильев Артем Александрович
643,первая часть оплаты,,,,,,,,,,,,,,,,,Васильев Артем Александрович
318,,17950.0,20590.0,,,,,,,,,,,,,,,Попова Екатерина Николаевна
603,,,,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
461,первая часть оплаты,103230.0,103230.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
461,вторая часть оплаты,27720.0,27180.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
717,,,34100.0,,,,,,,,,,,,,,,Попова Екатерина Николаевна
418,,160420.0,,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
456,,91240.0,,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
457,,104675.0,,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
