id,month,AM,month_canon
42,ноябрь 2022,Васильев Артем Александрович,2022-11
453,ноябрь 2022,Васильев Артем Александрович,2022-11
548,ноябрь 2022,Михайлов Андрей Сергеевич,2022-11
87,ноябрь 2022,Соколова Анастасия Викторовна,2022-11
429,ноябрь 2022,Соколова Анастасия Викторовна,2022-11
600,ноябрь 2022,Васильев Артем Александрович,2022-11
657,ноябрь 2022,Васильев Артем Александрович,2022-11
594,ноябрь 2022,Васильев Артем Александрович,2022-11
665,ноябрь 2022,Васильев Артем Александрович,2022-11
586,ноябрь 2022,Иванова Мария Сергеевна,2022-11
637,ноябрь 2022,Соколова Анастасия Викторовна,2022-11
419,ноябрь 2022,Михайлов Андрей Сергеевич,2022-11
578,ноябрь 2022,Попова Екатерина Николаевна,2022-11
579,ноябрь 2022,Васильев Артем Александрович,2022-11
671,ноябрь 2022,Соколова Анастасия Викторовна,2022-11
633,ноябрь 2022,Васильев Артем Александрович,2022-11
645,ноябрь 2022,Соколова Анастасия Викторовна,2022-11
369,ноябрь 2022,Васильев Артем Александрович,2022-11
547,ноябрь 2022,Михайлов Андрей Сергеевич,2022-11
592,ноябрь 2022,Васильев Артем Александрович,2022-11
666,ноябрь 2022,Васильев Артем Александрович,2022-11
620,ноябрь 2022,Васильев Артем Александрович,2022-11
301,ноябрь 2022,Попова Екатерина Николаевна,2022-11
704,ноябрь 2022,Михайлов Андрей Сергеевич,2022-11
15,декабрь 2022,Иванова Мария Сергеевна,2022-12
16,декабрь 2022,Иванова Мария Сергеевна,2022-12
379,декабрь 2022,Иванова Мария Сергеевна,2022-12
31,декабрь 2022,Васильев Артем Александрович,2022-12
572,декабрь 2022,Васильев Артем Александрович,2022-12
573,декабрь 2022,Васильев Артем Александрович,2022-12
574,декабрь 2022,Васильев Артем Александрович,2022-12
575,декабрь 2022,Васильев Артем Александрович,2022-12
576,декабрь 2022,Васильев Артем Александрович,2022-12
448,декабрь 2022,Соколова Анастасия Викторовна,2022-12
492,декабрь 2022,Смирнова Ольга Владимировна,2022-12
597,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
708,декабрь 2022,Васильев Артем Александрович,2022-12
719,декабрь 2022,Васильев Артем Александрович,2022-12
39,декабрь 2022,Иванова Мария Сергеевна,2022-12
328,декабрь 2022,Иванова Мария Сергеевна,2022-12
716,декабрь 2022,Соколова Анастасия Викторовна,2022-12
613,декабрь 2022,Васильев Артем Александрович,2022-12
615,декабрь 2022,Васильев Артем Александрович,2022-12
617,декабрь 2022,Васильев Артем Александрович,2022-12
643,декабрь 2022,Васильев Артем Александрович,2022-12
45,декабрь 2022,Попова Екатерина Николаевна,2022-12
318,декабрь 2022,Попова Екатерина Николаевна,2022-12
46,декабрь 2022,Васильев Артем Александрович,2022-12
49,декабрь 2022,Васильев Артем Александрович,2022-12
603,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
441,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
461,декабрь 2022,Иванова Мария Сергеевна,2022-12
717,декабрь 2022,Попова Екатерина Николаевна,2022-12
112,декабрь 2022,Иванова Мария Сергеевна,2022-12
630,декабрь 2022,Смирнова Ольга Владимировна,2022-12
154,декабрь 2022,Попова Екатерина Николаевна,2022-12
418,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
456,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
457,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
454,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
455,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
693,декабрь 2022,Попова Екатерина Николаевна,2022-12
654,декабрь 2022,Соколова Анастасия Викторовна,2022-12
475,декабрь 2022,Соколова Анастасия Викторовна,2022-12
193,декабрь 2022,Иванова Мария Сергеевна,2022-12
390,декабрь 2022,Иванова Мария Сергеевна,2022-12
477,декабрь 2022,Иванова Мария Сергеевна,2022-12
478,декабрь 2022,Иванова Мария Сергеевна,2022-12
535,декабрь 2022,Иванова Мария Сергеевна,2022-12
709,декабрь 2022,Иванова Мария Сергеевна,2022-12
581,декабрь 2022,Иванова Мария Сергеевна,2022-12
623,декабрь 2022,Иванова Мария Сергеевна,2022-12
196,декабрь 2022,Соколова Анастасия Викторовна,2022-12
199,декабрь 2022,Соколова Анастасия Викторовна,2022-12
705,декабрь 2022,Смирнова Ольга Владимировна,2022-12
629,декабрь 2022,Кузнецов Михаил Иванович,2022-12
720,декабрь 2022,Васильев Артем Александрович,2022-12
228,декабрь 2022,Васильев Артем Александрович,2022-12
242,декабрь 2022,Соколова Анастасия Викторовна,2022-12
471,декабрь 2022,Васильев Артем Александрович,2022-12
596,декабрь 2022,Васильев Артем Александрович,2022-12
714,декабрь 2022,Попова Екатерина Николаевна,2022-12
266,декабрь 2022,Соколова Анастасия Викторовна,2022-12
498,декабрь 2022,Васильев Артем Александрович,2022-12
703,декабрь 2022,Васильев Артем Александрович,2022-12
524,декабрь 2022,Иванова Мария Сергеевна,2022-12
274,декабрь 2022,Соколова Анастасия Викторовна,2022-12
281,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
583,декабрь 2022,Михайлов Андрей Сергеевич,2022-12
697,декабрь 2022,Васильев Артем Александрович,2022-12
626,декабрь 2022,Васильев Артем Александрович,2022-12
684,январь 2023,Васильев Артем Александрович,2023-01
708,январь 2023,Васильев Артем Александрович,2023-01
548,январь 2023,Михайлов Андрей Сергеевич,2023-01
493,январь 2023,Смирнова Ольга Владимировна,2023-01
674,январь 2023,Попова Екатерина Николаевна,2023-01
