month,AM,num,den,coef1
2023-01,"Васильев Артем Александрович",18247760.94,20719288.10,0.880714
2023-01,"Иванова Мария Сергеевна",3897533.84,10283051.42,0.379025
2023-01,"Кузнецов Михаил Иванович",1356722.00,2067179.00,0.656316
2023-01,"Михайлов Андрей Сергеевич",5889388.18,5591640.42,1.053249
2023-01,"Попова Екатерина Николаевна",3991491.36,9310790.50,0.428695
2023-01,"Смирнова Ольга Владимировна",3121342.40,3150864.40,0.990631
2023-01,"Соколова Анастасия Викторовна",6419919.00,7637947.52,0.840529
2023-02,"Васильев Артем Александрович",20400901.74,19442030.94,1.049319
2023-02,"Иванова Мария Сергеевна",4728602.50,4512525.84,1.047884
2023-02,"Кузнецов Михаил Иванович",1057006.00,1438722.00,0.734684
2023-02,"Михайлов Андрей Сергеевич",6839238.18,7204784.18,0.949263
2023-02,"Попова Екатерина Николаевна",4465280.00,4496869.36,0.992975
2023-02,"Смирнова Ольга Владимировна",3759274.60,3767965.20,0.997694
2023-02,"Соколова Анастасия Викторовна",5410496.00,7864059.00,0.688003
2023-03,"Васильев Артем Александрович",20832284.56,23048491.76,0.903846
2023-03,"Иванова Мария Сергеевна",4603768.00,4807922.50,0.957538
2023-03,"Кузнецов Михаил Иванович",1937908.20,1595543.68,1.214575
2023-03,"Михайлов Андрей Сергеевич",4801847.26,6849851.38,0.701015
2023-03,"Попова Екатерина Николаевна",4479086.50,4771620.00,0.938693
2023-03,"Смирнова Ольга Владимировна",4263077.30,4416284.60,0.965309
2023-03,"Соколова Анастасия Викторовна",7589770.20,7602819.20,0.998284
2023-04,"Васильев Артем Александрович",19278565.14,23656842.18,0.814926
2023-04,"Иванова Мария Сергеевна",3275363.50,4840571.00,0.676648
2023-04,"Кузнецов Михаил Иванович",2113062.00,2418057.70,0.873867
2023-04,"Михайлов Андрей Сергеевич",4168892.52,5314039.54,0.784505
2023-04,"Попова Екатерина Николаевна",5150869.00,5373126.50,0.958635
2023-04,"Смирнова Ольга Владимировна",4804098.50,4793923.30,1.002123
2023-04,"Соколова Анастасия Викторовна",8391270.70,7996864.40,1.049320
2023-05,"Васильев Артем Александрович",14684698.04,21487934.64,0.683393
2023-05,"Иванова Мария Сергеевна",3825015.50,3539973.50,1.080521
2023-05,"Кузнецов Михаил Иванович",2070261.08,2113062.00,0.979745
2023-05,"Михайлов Андрей Сергеевич",4571320.44,4168892.52,1.096531
2023-05,"Попова Екатерина Николаевна",6417190.36,6785223.56,0.945760
2023-05,"Смирнова Ольга Владимировна",4389318.60,4804098.50,0.913661
2023-05,"Соколова Анастасия Викторовна",7678032.28,8920450.70,0.860722
2023-06,"Васильев Артем Александрович",17450815.14,16067470.04,1.086096
2023-06,"Иванова Мария Сергеевна",3163865.00,4146705.50,0.762983
2023-06,"Кузнецов Михаил Иванович",2584912.30,3996761.08,0.646752
2023-06,"Михайлов Андрей Сергеевич",3538042.58,4698360.44,0.753038
2023-06,"Попова Екатерина Николаевна",6907744.00,7368670.36,0.937448
2023-06,"Смирнова Ольга Владимировна",4809964.10,5438531.00,0.884423
2023-06,"Соколова Анастасия Викторовна",8596186.00,8862602.28,0.969939
2023-06,"Федорова Марина Васильевна",156000.00,168000.00,0.928571
2023-07,"Васильев Артем Александрович",15954150.10,18513500.14,0.861758
2023-07,"Иванова Мария Сергеевна",2465830.40,3531255.00,0.698287
2023-07,"Кузнецов Михаил Иванович",2713440.22,2584912.30,1.049722
2023-07,"Михайлов Андрей Сергеевич",3521905.82,3538042.58,0.995439
2023-07,"Попова Екатерина Николаевна",6493309.92,7232123.00,0.897843
2023-07,"Смирнова Ольга Владимировна",5081244.50,5578256.22,0.910902
2023-07,"Соколова Анастасия Викторовна",9348516.62,10336566.00,0.904412
2023-07,"Федорова Марина Васильевна",156000.00,156000.00,1.000000
2023-08,"Васильев Артем Александрович",14510728.90,16797820.10,0.863846
2023-08,"Иванова Мария Сергеевна",1886230.76,2465830.40,0.764947
2023-08,"Кузнецов Михаил Иванович",2576252.28,2713440.22,0.949441
2023-08,"Михайлов Андрей Сергеевич",3738030.02,3650345.34,1.024021
2023-08,"Попова Екатерина Николаевна",7336247.56,7519564.32,0.975621
2023-08,"Смирнова Ольга Владимировна",5866364.76,6214176.70,0.944029
2023-08,"Соколова Анастасия Викторовна",8601256.64,9870706.90,0.871392
2023-08,"Федорова Марина Васильевна",146100.00,156000.00,0.936538
2023-09,"Васильев Артем Александрович",13289945.04,16928100.90,0.785082
2023-09,"Иванова Мария Сергеевна",2016895.50,2150120.76,0.938038
2023-09,"Кузнецов Михаил Иванович",2828891.30,2576252.28,1.098065
2023-09,"Михайлов Андрей Сергеевич",2822655.24,3775300.02,0.747664
2023-09,"Попова Екатерина Николаевна",6572010.16,7465047.56,0.880371
2023-09,"Смирнова Ольга Владимировна",6693752.50,7589954.76,0.881923
2023-09,"Соколова Анастасия Викторовна",8481540.38,10082186.64,0.841240
2023-09,"Федорова Марина Васильевна",202040.00,146100.00,1.382888
2023-10,"Васильев Артем Александрович",16514965.72,14958647.04,1.104041
2023-10,"Иванова Мария Сергеевна",1876345.50,2016895.50,0.930314
2023-10,"Кузнецов Михаил Иванович",2832563.96,2828891.30,1.001298
2023-10,"Михайлов Андрей Сергеевич",2628000.12,4089138.24,0.642678
2023-10,"Попова Екатерина Николаевна",6192294.60,6652460.16,0.930828
2023-10,"Смирнова Ольга Владимировна",6002280.50,7212604.50,0.832193
2023-10,"Соколова Анастасия Викторовна",8721269.30,8821540.38,0.988633
2023-10,"Федорова Марина Васильевна",368270.00,384940.00,0.956695
2023-11,"Васильев Артем Александрович",13098334.20,16843045.72,0.777670
2023-11,"Иванова Мария Сергеевна",1611495.50,1876345.50,0.858848
2023-11,"Кузнецов Михаил Иванович",2395030.02,3146963.96,0.761061
2023-11,"Михайлов Андрей Сергеевич",2246423.54,2878000.12,0.780550
2023-11,"Попова Екатерина Николаевна",6875537.82,7417390.60,0.926948
2023-11,"Смирнова Ольга Владимировна",6672706.48,7236145.18,0.922136
2023-11,"Соколова Анастасия Викторовна",8061440.14,9726074.98,0.828848
2023-11,"Федорова Марина Васильевна",315800.00,368270.00,0.857523
2023-12,"без А/М",0.00,68000.00,0.000000
2023-12,"Васильев Артем Александрович",13079991.54,13356814.20,0.979275
2023-12,"Иванова Мария Сергеевна",1637675.50,1611495.50,1.016246
2023-12,"Кузнецов Михаил Иванович",2364053.80,2975030.02,0.794632
2023-12,"Михайлов Андрей Сергеевич",2823900.00,2246423.54,1.257065
2023-12,"Петрова Анна Дмитриевна",218885.04,196984.00,1.111182
2023-12,"Попова Екатерина Николаевна",7220369.48,7094347.82,1.017764
2023-12,"Смирнова Ольга Владимировна",6276659.30,7285746.48,0.861498
2023-12,"Соколова Анастасия Викторовна",7751504.32,8061440.14,0.961553
2023-12,"Федорова Марина Васильевна",100500.00,315800.00,0.318239
